FIPS,County,Social Capital and Community Score
20079,"Harvey, Kansas",42.94329109774361
19195,"Worth, Iowa",42.90949796880316
39085,"Lake, Ohio",42.89203885410296
37129,"New Hanover, North Carolina",42.863948519170364
48027,"Bell, Texas",42.84473556619164
26005,"Allegan, Michigan",42.84202246587054
36113,"Warren, New York",42.81591508267259
56031,"Platte, Wyoming",42.81007098127316
37063,"Durham, North Carolina",42.80766164912954
26065,"Ingham, Michigan",42.80076600094234
48167,"Galveston, Texas",42.78577486622181
20139,"Osage, Kansas",42.775112713950065
29169,"Pulaski, Missouri",42.755942651860074
18157,"Tippecanoe, Indiana",42.75587854821531
27045,"Fillmore, Minnesota",42.74866865309218
30111,"Yellowstone, Montana",42.74134717092252
38019,"Cavalier, North Dakota",42.71482638224366
37021,"Buncombe, North Carolina",42.70826725882131
38003,"Barnes, North Dakota",42.694247710612856
26015,"Barry, Michigan",42.69159131307039
27157,"Wabasha, Minnesota",42.611388181573915
55015,"Calumet, Wisconsin",42.59355611729597
21239,"Woodford, Kentucky",42.59010474333741
39123,"Ottawa, Ohio",42.580335477667056
55049,"Iowa, Wisconsin",42.57936261202819
40151,"Woods, Oklahoma",42.57746627340438
42077,"Lehigh, Pennsylvania",42.56182518372243
30081,"Ravalli, Montana",42.52732373226653
46047,"Fall River, South Dakota",42.51412725703523
6043,"Mariposa, California",42.494148410336166
27055,"Houston, Minnesota",42.46699320400686
9015,"Windham, Connecticut",42.452346564421084
20127,"Morris, Kansas",42.44708062964878
12001,"Alachua, Florida",42.37391570513122
27169,"Winona, Minnesota",42.37089451841453
56009,"Converse, Wyoming",42.35855086605754
48361,"Orange, Texas",42.323403002923854
41009,"Columbia, Oregon",42.32180375016628
55117,"Sheboygan, Wisconsin",42.30660386031104
21067,"Fayette, Kentucky",42.29787809350644
13297,"Walton, Georgia",42.29729537124604
42071,"Lancaster, Pennsylvania",42.291101857088314
39129,"Pickaway, Ohio",42.28737175460158
55009,"Brown, Wisconsin",42.26820246989729
32015,"Lander, Nevada",42.260025468457336
39049,"Franklin, Ohio",42.24984296083017
6077,"San Joaquin, California",42.225041441952285
18129,"Posey, Indiana",42.21292027914683
8103,"Rio Blanco, Colorado",42.19621114583285
37025,"Cabarrus, North Carolina",42.18901887169865
22071,"Orleans, Louisiana",42.17292189194189
17141,"Ogle, Illinois",42.15477447926301
21117,"Kenton, Kentucky",42.1538716426025
38073,"Ransom, North Dakota",42.13015397023982
26073,"Isabella, Michigan",42.12874886149398
51800,"Suffolk, Virginia",42.122737191661784
4005,"Coconino, Arizona",42.1048057157634
25025,"Suffolk, Massachusetts",42.0774420957664
26115,"Monroe, Michigan",42.04385018139406
20115,"Marion, Kansas",42.02882927884781
42133,"York, Pennsylvania",42.0280040839685
17129,"Menard, Illinois",42.00800475246756
